FID,Name,TotChild,OlderAdult,MedIllnes,POC2,LEP,Low_to_No,TotDis,MBTA_Stops_Count,Bus_Stops_Count,Blue_Bikes_Stations_Count,Blue_Bikes_Docks_Count,Air_Quality_Tooltip
46,East Boston,0,0,0.0,0,0,0,0,0,5,0,0,NO2: 11.30994382022472<br>O3: 21.313370786516856<br>PM10: 9.1238202247191<br>PM2.5: 6.018426966292135<br>SO2: 0.3149438202247191<br>AQI: 26.730337078651687<br>Category: Good air quality<br>ZipCode: 2128<br>
47,East Boston,1430,690,2326.07,2904,2703,2013,655,2,19,1,19,NO2: 11.30994382022472<br>O3: 21.313370786516856<br>PM10: 9.1238202247191<br>PM2.5: 6.018426966292135<br>SO2: 0.3149438202247191<br>AQI: 26.730337078651687<br>Category: Good air quality<br>ZipCode: 2128<br>
48,East Boston,888,762,1611.39,1873,1701,939,831,0,16,3,49,NO2: 11.30994382022472<br>O3: 21.313370786516856<br>PM10: 9.1238202247191<br>PM2.5: 6.018426966292135<br>SO2: 0.3149438202247191<br>AQI: 26.730337078651687<br>Category: Good air quality<br>ZipCode: 2128<br>
49,North End,144,215,1020.89,198,787,572,185,0,0,0,0,NO2: 21.484494382022472<br>O3: 20.12174157303371<br>PM10: 22.872752808988764<br>PM2.5: 11.129101123595506<br>SO2: 0.2825280898876404<br>AQI: 43.12921348314607<br>Category: Good air quality<br>ZipCode: 2113<br>
50,North End,310,1001,2185.21,884,1832,831,678,5,21,9,189,NO2: 30.00831460674157<br>O3: 19.95741573033708<br>PM10: 40.02432584269663<br>PM2.5: 12.62365168539326<br>SO2: 0.2868539325842696<br>AQI: 49.70786516853933<br>Category: Moderate air quality<br>ZipCode: 2112<br>
51,East Boston,55,0,151.28,131,16,16,0,7,9,1,15,NO2: 11.30994382022472<br>O3: 21.313370786516856<br>PM10: 9.1238202247191<br>PM2.5: 6.018426966292135<br>SO2: 0.3149438202247191<br>AQI: 26.730337078651687<br>Category: Good air quality<br>ZipCode: 2128<br>
52,Roslindale,1264,357,2036.89,3322,1941,1584,624,1,19,4,89,NO2: 15.465280898876406<br>O3: 22.568876404494382<br>PM10: 20.232977528089886<br>PM2.5: 6.740112359550562<br>SO2: 0.3712359550561798<br>AQI: 29.331460674157302<br>Category: Good air quality<br>ZipCode: 2131<br>
53,Roslindale,506,179,917.61,1450,420,241,338,0,11,1,18,NO2: 15.465280898876406<br>O3: 22.568876404494382<br>PM10: 20.232977528089886<br>PM2.5: 6.740112359550562<br>SO2: 0.3712359550561798<br>AQI: 29.331460674157302<br>Category: Good air quality<br>ZipCode: 2131<br>
54,Roslindale,658,238,679.79,1623,1044,806,360,0,3,0,0,NO2: 15.465280898876406<br>O3: 22.568876404494382<br>PM10: 20.232977528089886<br>PM2.5: 6.740112359550562<br>SO2: 0.3712359550561798<br>AQI: 29.331460674157302<br>Category: Good air quality<br>ZipCode: 2131<br>
55,Back Bay,158,111,1005.53,469,516,405,83,1,4,2,42,NO2: 24.538483146067417<br>O3: 19.60376404494382<br>PM10: 25.192078651685392<br>PM2.5: 10.348483146067416<br>SO2: 0.2798876404494382<br>AQI: 41.00561797752809<br>Category: Good air quality<br>ZipCode: 2199<br>
