date,zip_code,ReportingArea,StateCode,Latitude,Longitude,OZONEAQI,PM2.5AQI,PM10AQI,CategoryNumber,CategoryName
2022-05-26,2045,Weymouth,MA,42.2459,-70.9628,38.0,20.0,,1.0,Good
2022-05-27,2045,Weymouth,MA,42.2459,-70.9628,28.0,21.0,,1.0,Good
2022-05-28,2045,Weymouth,MA,42.2459,-70.9628,28.0,21.0,,1.0,Good
2022-05-29,2045,Weymouth,MA,42.2459,-70.9628,34.0,22.0,,1.0,Good
2022-05-30,2045,Weymouth,MA,42.2459,-70.9628,54.0,33.0,,2.0,Moderate
2022-05-31,2045,Weymouth,MA,42.2459,-70.9628,32.0,32.0,,1.0,Good
2022-06-01,2045,Weymouth,MA,42.2459,-70.9628,21.0,18.0,,1.0,Good
2022-06-02,2045,Weymouth,MA,42.2459,-70.9628,27.0,16.0,,1.0,Good
2022-06-03,2045,Weymouth,MA,42.2459,-70.9628,28.0,15.0,,1.0,Good
2022-06-04,2045,Weymouth,MA,42.2459,-70.9628,34.0,23.0,,1.0,Good
2022-06-05,2045,Weymouth,MA,42.2459,-70.9628,37.0,12.0,,1.0,Good
2022-06-06,2045,Weymouth,MA,42.2459,-70.9628,48.0,20.0,,1.0,Good
2022-06-07,2045,Weymouth,MA,42.2459,-70.9628,46.0,18.0,,1.0,Good
2022-06-08,2045,Weymouth,MA,42.2459,-70.9628,44.0,20.0,,1.0,Good
2022-06-09,2045,Weymouth,MA,42.2459,-70.9628,40.0,27.0,,1.0,Good
2022-06-10,2045,Weymouth,MA,42.2459,-70.9628,40.0,19.0,,1.0,Good
2022-06-11,2045,Weymouth,MA,42.2459,-70.9628,41.0,20.0,,1.0,Good
2022-06-12,2045,Weymouth,MA,42.2459,-70.9628,48.0,31.0,,1.0,Good
2022-06-13,2045,Weymouth,MA,42.2459,-70.9628,46.0,23.0,,1.0,Good
2022-06-14,2045,Weymouth,MA,42.2459,-70.9628,36.0,23.0,,1.0,Good
2022-06-15,2045,Weymouth,MA,42.2459,-70.9628,32.0,16.0,,1.0,Good
2022-06-16,2045,Weymouth,MA,42.2459,-70.9628,34.0,18.0,,1.0,Good
2022-06-17,2045,Weymouth,MA,42.2459,-70.9628,43.0,28.0,,1.0,Good
2022-06-18,2045,Weymouth,MA,42.2459,-70.9628,25.0,10.0,,1.0,Good
2022-06-19,2045,Weymouth,MA,42.2459,-70.9628,23.0,17.0,,1.0,Good
