X,Y,Number,Name,Latitude,Longitude,District,Public_,Total_docks,ObjectId
-7917413.76967788,5212287.31160789,K32001,Coolidge Corner - Beacon St at Centre St,42.341598,-71.123338,Brookline,Yes,19,163
-7921142.22789207,5216878.62037563,W32001,Coolidge Sq.,42.37207611,-71.15683131,Watertown,Yes,12,164
-7912299.09214626,5213541.98745809,D32005,Copley Square - Dartmouth St at Boylston St,42.34992828,-71.07739207,Boston,Yes,29,165
-7916004.96474895,5219325.96528257,S32037,Craigie at Summer St,42.38831608,-71.11068249,Somerville,Yes,19,166
-7909925.19621273,5215482.66238264,D32010,Cross St at Hanover St,42.362811,-71.056067,Boston,Yes,19,167
-7916533.45514469,5207387.24761808,E32001,Curtis Hall - South St at Centre St,42.309054,-71.11543,Boston,Yes,15,168
-7917639.10481754,5210215.97396012,K32009,Cypress St at Clark Playground,42.32784317,-71.12536222,Brookline,Yes,15,169
-7915717.42984382,5215327.40242468,M32030,Dana Park,42.36178044,-71.10809952,Cambridge,Yes,19,170
-7918465.73886588,5219423.92065793,M32031,Danehy Park,42.388966,-71.132788,Cambridge,Yes,17,171
-7919159.37061301,5219497.773701,M32075,Danehy Park at New Street,42.389456,-71.139019,Cambridge,Yes,19,172
-7917378.81535778,5220630.20898321,S32006,Davis Square,42.396969,-71.123024,Somerville,Yes,25,173
-7906771.06976059,5217966.42069676,A32051,Day Sq,42.379295,-71.027733,Boston,Yes,16,174
-7914513.24015772,5213438.88283315,B32037,Deerfield St at Commonwealth Ave,42.34924377,-71.0972821,Boston,Yes,19,175
-7891593.48540794,5239208.53900567,T32018,Derby Street,42.52009618,-70.89139044,Salem,Yes,11,176
-7920155.93720364,5220771.77970917,M32066,Discovery Park - 30 Acorn Park Drive,42.39790817,-71.14797131,Cambridge,Yes,23,177
-7910070.94348244,5212655.17617052,C32009,Dorchester Ave at Gillette Park,42.34404051,-71.05737627,Boston,Yes,15,178
-7910649.21818085,5204778.04614537,C32066,Dorchester Ave at King St,42.291718,-71.062571,Boston,Yes,15,179
-7913019.73556784,5210517.09839161,B32017,Dudley Square - Bolling Building,42.32984299,-71.08386572,Boston,Yes,17,180
-7912072.21523166,5209838.01673451,C32015,Dudley Town Common - Mt Pleasant Ave at Blue Hill Ave,42.325333,-71.075354,Boston,Yes,15,181
-7910583.42836179,5209119.53651203,C32018,E Cottage St at Columbia Rd,42.320561,-71.06198,Boston,Yes,19,182
-7908073.28516389,5216495.88593797,A32031,East Boston Neighborhood Health Center - 20 Maverick Square,42.369536,-71.039431,Boston,Yes,16,183
-7912944.19861416,5219222.27614939,S32017,East Somerville Library (Broadway and Illinois),42.38762811,-71.08318716,Somerville,Yes,15,184
-7913384.65978297,5219153.92938919,S32038,Edgerly Education Center,42.38717463,-71.08714389,Somerville,Yes,15,185
-7911321.14262728,5217916.69091893,A32022,Edwards Playground - Main St at Eden St,42.378965,-71.068607,Boston,Yes,19,186
-7911471.42393985,5216548.47105789,M32034,EF - North Point Park,42.369885,-71.069957,Cambridge,Yes,23,187
-7914663.73297733,5208386.50796897,E32004,Egleston Square - Atherton St at Washington St,42.315692,-71.098634,Boston,Yes,15,188
-7916701.70342308,5219508.07699993,S32039,Elm St at White St,42.38952436,-71.1169414,Somerville,Yes,19,189
-7911748.67626362,5220076.05240815,V32005,Encore,42.39329263,-71.0724476,Everett,Yes,15,190
-7893168.05062464,5238623.56821871,T32011,Essex St at Dalton Parkway,42.516223,-70.905535,Salem,Yes,11,191
-7909967.8326909,5222144.80927099,V32003,Everett Square (Broadway at Chelsea St),42.40701602,-71.05645001,Everett,Yes,16,192
-7908645.51187437,5214063.50460337,A32000,Fan Pier,42.35339051,-71.0445714,Boston,Yes,15,193
-7906461.26761772,5211052.72156154,C32051,Farragut Rd at E. 6th St,42.3334,-71.02495,Boston,Yes,23,194
-7910439.79950199,5205969.29921478,C32041,Fields Corner T Stop,42.29963349,-71.06068976,Boston,Yes,15,195
-7913443.91292153,5211173.72023527,B32064,Flat 9 at Whittier,42.33420351,-71.08767617,Boston,Yes,15,196
-7912669.20496286,5220034.71772895,S32047,Foley St at Grand Union Blvd,42.3930184,-71.08071685,Somerville,Yes,19,197
-7916401.98682606,5206163.38006385,E32010,Forest Hills,42.300923,-71.114249,Boston,Yes,40,198
-7891096.95149843,5237139.39688135,T32010,Forest River Park,42.506395,-70.88693,Salem,Yes,11,199
-7913759.48475361,5211926.46576529,B32062,Forsyth St at Huntington Ave,42.339202,-71.090511,Boston,Yes,15,200
-7913746.48931626,5219743.20808388,S32015,Foss Park,42.39108438,-71.09039426,Somerville,Yes,15,201
-7912510.95651433,5206645.7630901,C32037,Four Corners - 157 Washington St,42.30412793,-71.07929528,Boston,Yes,11,202
-7913950.28636083,5207498.94036493,C32027,Franklin Park - Seaver St at Humboldt Ave,42.309796,-71.092225,Boston,Yes,15,203
-7913184.63090316,5206546.58367769,C32030,Franklin Park Zoo - Franklin Park Rd at Blue Hill Ave,42.303469,-71.085347,Boston,Yes,14,204
-7919655.84997598,5218476.28353861,M32051,Fresh Pond Reservation,42.38267828,-71.14347895,Cambridge,Yes,17,205
-7913540.27441234,5216026.45991621,M32078,Galileo Galilei Way at Fulkerson St/Binney St,42.3664204,-71.0885418,Cambridge,Yes,19,206
-7913673.69972762,5215511.70611235,M32072,Galileo Galilei Way at Main Street,42.36300378,-71.08974038,Cambridge,Yes,19,207
-7909769.34669923,5203462.53207103,C32040,Gallivan Blvd at Adams St,42.28297568,-71.05466698,Boston,Yes,15,208
-7908734.18675434,5208864.1488914,C32090,Geiger Gibson Community Health Center,42.31886468,-71.04536798,Boston,Yes,19,209
-7914219.61273686,5219087.74587631,S32046,Gilman Square T at Medford St,42.3867355,-71.0946444,Somerville,Yes,19,210
-7908670.57657091,5223238.94953377,V32006,Glendale Square (Ferry St at Broadway),42.41427294,-71.04479656,Everett,Yes,15,211
-7907050.48613526,5218434.91515794,A32034,Glendon St at Condor St,42.38240378,-71.03024304,Boston,Yes,19,212
-7893723.86884217,5239329.49228603,T32014,Goodhue St at Grove St,42.520897,-70.910528,Salem,Yes,11,213
-7913295.43164512,5217029.85696181,M32081,Gore Street at Lambert Street,42.3730798,-71.08634234,Cambridge,Yes,19,214
-7907645.1949301,5216652.81797773,A32049,Gove St at Orleans St,42.37057753,-71.0355854,Boston,Yes,19,215
-7910340.27987722,5215032.87108579,B32032,Government Center - Cambridge St at Court St,42.3598254,-71.05979576,Boston,Yes,35,216
-7917542.93479625,5218516.37411783,M32068,Graham and Parks School ? Linnaean St at Walker St,42.3829443,-71.12449831,Cambridge,Yes,18,217
-7908459.45247746,5222316.6779425,V32015,Gramsdorf Playground,42.408156,-71.0429,Everett,Yes,14,218
-7915632.99178367,5207616.80624119,E32005,Green Street T Stop - Green St at Amory St,42.310579,-71.107341,Boston,Yes,23,219
-7912695.38174112,5207215.044669,B32028,Grove Hall Library - 41 Geneva Ave,42.30791,-71.080952,Boston,Yes,15,220
-7917054.77099925,5220542.45057753,S32019,Grove St at Community Path,42.39638681,-71.12011306,Somerville,Yes,15,221
