,DateObserved,HourObserved,LocalTimeZone,ReportingArea,StateCode,Latitude,Longitude,ParameterName,AQI,CategoryNumber,CategoryName,zipCode
1015,2021-04-29,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,39,1,Good,2108
1014,2021-04-29,0,EST,Boston,MA,42.35657,-71.06516,OZONE,28,1,Good,2108
1016,2021-04-30,0,EST,Boston,MA,42.35657,-71.06516,OZONE,33,1,Good,2108
1017,2021-04-30,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,19,1,Good,2108
992,2021-05-01,0,EST,Boston,MA,42.35657,-71.06516,OZONE,31,1,Good,2108
993,2021-05-01,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,17,1,Good,2108
994,2021-05-02,0,EST,Boston,MA,42.35657,-71.06516,OZONE,46,1,Good,2108
995,2021-05-02,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,29,1,Good,2108
996,2021-05-03,0,EST,Boston,MA,42.35657,-71.06516,OZONE,31,1,Good,2108
997,2021-05-03,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,27,1,Good,2108
998,2021-05-04,0,EST,Boston,MA,42.35657,-71.06516,OZONE,30,1,Good,2108
999,2021-05-04,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,26,1,Good,2108
1000,2021-05-05,0,EST,Boston,MA,42.35657,-71.06516,OZONE,23,1,Good,2108
1001,2021-05-05,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,25,1,Good,2108
1002,2021-05-06,0,EST,Boston,MA,42.35657,-71.06516,OZONE,32,1,Good,2108
1003,2021-05-06,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,17,1,Good,2108
1004,2021-05-07,0,EST,Boston,MA,42.35657,-71.06516,OZONE,27,1,Good,2108
1005,2021-05-07,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,19,1,Good,2108
1007,2021-05-08,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,21,1,Good,2108
1006,2021-05-08,0,EST,Boston,MA,42.35657,-71.06516,OZONE,26,1,Good,2108
1008,2021-05-09,0,EST,Boston,MA,42.35657,-71.06516,OZONE,37,1,Good,2108
1009,2021-05-09,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,27,1,Good,2108
1011,2021-05-10,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,27,1,Good,2108
1010,2021-05-10,0,EST,Boston,MA,42.35657,-71.06516,OZONE,33,1,Good,2108
1013,2021-05-11,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,18,1,Good,2108
1012,2021-05-11,0,EST,Boston,MA,42.35657,-71.06516,OZONE,31,1,Good,2108
1014,2021-05-12,0,EST,Boston,MA,42.35657,-71.06516,OZONE,32,1,Good,2108
1015,2021-05-12,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,19,1,Good,2108
1016,2021-05-13,0,EST,Boston,MA,42.35657,-71.06516,OZONE,35,1,Good,2108
1017,2021-05-13,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,26,1,Good,2108
1019,2021-05-14,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,37,1,Good,2108
1018,2021-05-14,0,EST,Boston,MA,42.35657,-71.06516,OZONE,40,1,Good,2108
1021,2021-05-15,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,47,1,Good,2108
1020,2021-05-15,0,EST,Boston,MA,42.35657,-71.06516,OZONE,41,1,Good,2108
1023,2021-05-16,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,38,1,Good,2108
1022,2021-05-16,0,EST,Boston,MA,42.35657,-71.06516,OZONE,47,1,Good,2108
1025,2021-05-17,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,43,1,Good,2108
1024,2021-05-17,0,EST,Boston,MA,42.35657,-71.06516,OZONE,44,1,Good,2108
1027,2021-05-18,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,44,1,Good,2108
1026,2021-05-18,0,EST,Boston,MA,42.35657,-71.06516,OZONE,50,1,Good,2108
1028,2021-05-19,0,EST,Boston,MA,42.35657,-71.06516,OZONE,38,1,Good,2108
1029,2021-05-19,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,35,1,Good,2108
1031,2021-05-20,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,33,1,Good,2108
1030,2021-05-20,0,EST,Boston,MA,42.35657,-71.06516,OZONE,35,1,Good,2108
1032,2021-05-21,0,EST,Boston,MA,42.35657,-71.06516,OZONE,43,1,Good,2108
1033,2021-05-21,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,36,1,Good,2108
1034,2021-05-22,0,EST,Boston,MA,42.35657,-71.06516,OZONE,67,2,Moderate,2108
1035,2021-05-22,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,54,2,Moderate,2108
