date,min,max,median,q1,q3,stdev,count
2022-08-23T00:00:00.000Z,0.4,14.3,4.6,3.3,6.2,2.682,627
2022-08-24T00:00:00.000Z,3,29.9,10.6,7.4,14.2,4.384,645
2022-08-25T00:00:00.000Z,7.6,39.9,13.8,10.6,16.8,4.148,634
2022-08-26T00:00:00.000Z,5.1,26.3,16.7,14.2,18.64,3.691,668
2022-08-27T00:00:00.000Z,9.1,25.1,13.4,12,15.5,2.377,653
2022-08-28T00:00:00.000Z,5.8,16.6,8.3,7.3,13,3.036,642
2022-08-29T00:00:00.000Z,3.8,27.4,9.05,5.7,16.7,5.478,574
2022-08-30T00:00:00.000Z,2.5,37.8,15.3,13.05,16.7,3.954,633
2022-08-31T00:00:00.000Z,0.6,15.7,3.1,2,6,2.935,610
2022-09-01T00:00:00.000Z,0.9,26,4.4,2.6,6,2.383,603
2022-09-02T00:00:00.000Z,0,15.2,1.1,0.6,1.6,1.063,585
2022-09-03T00:00:00.000Z,1,11,2.8,2.4,3.5,1.615,607
2022-09-04T00:00:00.000Z,1.1,22.1,4.09,2,8.2,4.263,639
2022-09-05T00:00:00.000Z,3,13.2,6.9,5.3,8.5,2.197,608
2022-09-06T00:00:00.000Z,1.5,6.3,3.9,3.2,4.4,0.88,611
2022-09-07T00:00:00.000Z,0.8,9.9,4.05,2.2,5.3,1.893,622
2022-09-08T00:00:00.000Z,1.5,16.8,3.9,3.1,4.8,1.416,611
2022-09-09T00:00:00.000Z,2.9,56,6,4.5,7.7,3.885,634
2022-09-10T00:00:00.000Z,9.8,30.1,12.5,11.8,14.35,2.573,616
2022-09-11T00:00:00.000Z,9.1,24.1,18.5,16.05,20.5,3.203,644
2022-09-12T00:00:00.000Z,3.8,52,8.1,6.8,9.3,3.673,593
2022-09-13T00:00:00.000Z,2.9,22.2,9.9,8.5,11,2.38,608
2022-09-14T00:00:00.000Z,1.4,30.6,6,3.5,8.7,3.548,613
2022-09-15T00:00:00.000Z,0,18.2,2.9,0.6,13.2,6.381,607
2022-09-16T00:00:00.000Z,0.2,24.8,1,0.8,1.3,1.423,554
2022-09-17T00:00:00.000Z,0.2,11.2,2.2,1.3,2.8,1.838,607
2022-09-18T00:00:00.000Z,2.4,26.7,9.5,5.6,21.8,7.876,626
2022-09-19T00:00:00.000Z,2.8,24.3,12.15,5.3,19.5,6.735,634
2022-09-20T00:00:00.000Z,0.1,24,3.5,1.6,6,4.893,607
2022-09-21T00:00:00.000Z,0.8,117.6,4.5,2.9,5.7,5.968,618
2022-09-22T00:00:00.000Z,1.6,20.5,5.7,3.6,10.7,4.821,600
2022-09-23T00:00:00.000Z,0,33.4,0.6,0.2,1.5,3.752,547
2022-09-24T00:00:00.000Z,0.1,4,0.7,0.5,1,0.641,570
2022-09-25T00:00:00.000Z,2.9,12.4,4.9,4.4,6.1,1.719,625
2022-09-26T00:00:00.000Z,2.5,129,7.5,6.1,9.6,6.391,612
